large_family,lives_in_city,traveltime,studytime,failures,paid,activities,internet,romantic,famrel,freetime,goout,absences,final_grade
1,1,2,2,0,0,0,0,0,4,3,4,6,6
1,1,1,2,0,0,0,1,0,5,3,3,4,6
0,1,1,2,3,1,0,1,0,4,3,2,10,10
1,1,1,3,0,1,1,1,1,3,2,2,2,15
1,1,1,2,0,1,0,0,0,4,3,2,4,10
1,1,2,2,0,0,0,0,0,4,1,4,6,6
1,1,1,2,0,1,0,1,0,3,3,3,0,9
1,1,3,3,0,0,1,1,0,5,2,2,4,12
1,1,1,1,0,0,0,1,0,4,4,4,4,14
1,1,1,3,0,1,1,1,0,3,2,3,6,14
1,1,3,2,0,0,1,0,0,5,3,2,4,10
1,0,1,3,0,1,1,1,0,4,3,2,2,8
1,1,1,1,2,1,0,1,0,1,2,2,14,8
1,1,2,1,0,0,1,0,0,3,5,1,0,6
1,0,1,3,0,1,1,1,0,4,3,2,2,11
1,0,1,1,0,1,1,0,0,4,3,1,8,13
0,1,2,2,1,0,1,1,1,3,3,3,25,11
0,1,2,2,1,0,1,1,0,4,3,3,14,9
0,1,1,2,0,1,1,1,1,5,2,2,8,6
0,1,1,2,0,0,0,1,0,2,3,5,12,11
1,1,1,2,1,0,1,1,0,4,4,4,2,7
0,1,3,2,0,1,0,1,0,4,3,3,2,13
0,1,1,2,0,1,0,1,0,4,3,3,2,13
1,1,1,1,0,1,0,1,0,3,3,4,0,11
0,1,1,1,0,1,0,1,0,5,3,4,6,13
1,1,1,2,0,1,1,1,1,5,3,4,8,10
1,1,1,2,0,1,1,1,0,4,3,2,0,15
1,1,1,2,0,0,0,1,0,4,2,3,2,16
1,0,1,2,0,0,1,0,0,2,4,4,6,11
1,1,4,1,0,0,1,1,1,5,5,5,6,11
0,1,1,2,0,0,1,1,0,4,4,3,4,9
1,1,1,3,0,1,1,1,0,3,4,4,2,9
0,1,1,2,0,0,1,1,1,4,4,4,0,10
0,1,3,2,0,0,1,1,0,5,4,3,2,15
1,1,1,4,0,1,0,1,0,4,3,3,4,6
0,0,2,2,0,1,0,1,0,4,1,3,2,8
0,0,2,4,0,0,0,1,0,4,4,2,12,16
1,0,1,2,2,0,0,1,1,3,3,4,2,5
