large_family,lives_in_city,traveltime,studytime,failures,paid,activities,internet,romantic,famrel,freetime,goout,absences,final_grade
0,1,1,2,0,1,1,1,0,5,4,2,10,15
0,1,1,2,0,0,0,1,0,4,4,4,0,11
0,1,1,2,0,1,0,1,0,4,2,2,0,19
1,1,1,2,0,1,1,1,0,5,5,1,0,15
0,1,1,1,0,1,1,1,0,4,3,3,2,14
1,1,2,2,0,1,0,1,0,5,4,3,2,11
1,1,1,3,0,0,0,1,1,4,5,2,0,16
1,1,1,1,3,0,1,1,0,5,5,5,16,5
0,1,1,1,0,1,1,1,0,3,1,3,4,10
1,1,1,2,0,0,0,1,0,4,4,1,0,15
1,1,1,1,0,1,0,1,0,5,4,2,0,15
0,1,1,2,0,0,1,1,0,4,5,1,2,16
0,1,2,2,0,0,1,1,0,5,4,4,0,12
1,1,1,1,0,1,0,1,0,4,2,2,2,11
1,1,1,1,0,1,0,1,0,2,2,4,4,15
0,1,1,2,0,0,1,1,0,5,3,3,4,11
1,1,1,2,0,1,1,1,1,4,4,5,16,11
1,1,1,2,0,1,0,1,0,5,4,2,0,12
1,1,2,2,0,0,1,1,0,4,3,1,0,17
1,0,1,2,0,0,1,1,1,4,5,2,0,16
0,1,1,2,0,0,1,1,0,5,3,2,0,12
1,1,1,1,0,1,0,1,0,5,4,3,0,15
0,1,1,3,0,0,1,1,0,5,4,3,2,18
1,0,2,3,0,0,1,1,1,2,4,3,7,15
0,1,1,1,0,0,0,1,1,5,4,3,8,12
1,1,1,2,0,0,1,1,0,4,3,3,2,18
1,1,1,1,0,0,0,1,0,5,4,1,0,11
1,1,1,4,0,0,1,1,0,4,2,2,4,20
1,1,1,2,0,1,0,0,0,4,3,3,2,14
0,1,2,1,1,0,0,0,0,5,5,5,6,10
1,1,1,2,0,0,1,0,0,3,2,2,4,15
0,1,1,2,0,0,1,1,0,4,3,2,2,9
1,1,1,4,0,0,1,1,1,1,3,3,4,12
1,1,2,4,0,1,0,1,0,4,3,2,0,15
1,1,1,4,0,0,0,1,0,3,3,3,0,10
1,1,1,1,0,0,1,0,0,5,3,2,2,14
1,1,1,2,0,1,1,1,0,4,3,3,6,10
1,1,2,4,0,0,1,1,0,3,4,3,8,10
1,1,2,1,3,0,1,1,0,4,5,1,2,10
1,1,1,1,0,1,1,1,1,3,2,2,2,12
1,1,1,3,0,1,0,1,0,5,3,2,4,11
0,1,2,2,0,1,1,1,0,5,3,3,4,15
1,1,2,2,1,1,1,1,0,4,4,2,12,10
0,1,1,2,0,0,0,0,0,4,1,3,18,7
0,1,1,4,0,0,1,1,0,4,3,4,6,14
1,0,2,1,0,0,1,1,0,3,3,3,2,15
1,1,1,1,0,1,1,1,0,4,5,5,14,5
1,1,1,3,0,0,1,1,1,4,4,3,0,17
1,1,1,1,0,0,1,1,0,5,3,3,4,14
1,1,1,2,0,1,1,1,0,5,4,4,0,18
1,1,1,3,0,0,1,1,0,5,3,3,2,18
1,0,4,4,0,1,1,1,1,1,3,5,6,13
0,1,1,1,0,0,1,1,0,5,5,3,6,19
0,1,1,1,0,0,0,1,0,3,5,2,10,19
1,0,1,2,0,0,1,1,1,5,4,2,8,9
1,1,1,2,0,0,1,1,0,5,4,4,2,16
1,1,2,2,0,0,1,0,0,4,4,3,2,14
1,1,2,1,0,0,1,1,0,5,4,2,0,13
1,0,3,2,1,0,1,1,0,5,2,4,20,8
1,1,1,1,0,0,0,1,0,3,4,3,6,13
1,1,1,4,0,1,1,1,0,5,5,4,6,15
1,1,1,1,0,0,1,1,0,3,4,4,18,13
1,1,1,1,0,0,0,1,0,5,5,5,0,12
1,0,1,1,2,0,1,1,0,3,3,3,0,0
1,0,1,1,0,1,1,1,0,3,5,5,8,18
1,0,4,2,0,0,0,0,1,5,3,3,0,0
1,0,3,2,0,0,0,0,0,5,4,5,0,0
0,1,1,2,1,0,0,0,1,4,4,4,0,12
1,1,2,4,0,0,0,1,0,2,2,2,0,0
0,1,2,1,2,0,1,1,0,2,3,3,8,9
1,1,1,1,3,0,0,1,0,5,4,5,0,0
1,1,1,1,0,0,0,1,1,3,3,2,0,0
0,1,4,1,3,0,0,1,0,4,5,5,0,10
0,1,1,1,3,0,0,1,1,2,3,5,0,0
0,1,1,1,1,0,1,0,1,4,4,4,6,14
1,1,1,1,3,0,0,1,1,4,5,4,0,0
1,0,1,2,0,1,1,0,0,4,4,4,2,8
0,0,1,1,0,0,0,0,0,2,2,2,8,13
1,0,3,1,0,0,0,0,0,4,2,2,2,15
1,1,1,2,1,1,0,1,1,4,5,5,4,12
0,0,2,1,2,0,1,1,1,3,3,2,0,0
1,0,2,2,2,0,0,1,1,4,4,4,6,7
0,1,2,1,1,0,1,0,0,4,4,4,0,0
1,1,1,1,0,0,0,1,0,5,3,3,2,10
0,0,4,2,3,0,1,0,1,5,3,5,0,7
1,1,2,1,1,0,1,0,0,4,5,2,16,12
1,1,1,2,0,0,0,1,0,4,3,5,4,10
1,1,3,1,2,0,1,1,0,3,4,5,0,0
1,1,2,2,0,1,1,1,1,4,3,2,2,16
0,1,1,2,0,1,1,1,0,4,4,4,0,10
0,1,2,2,0,1,1,1,0,4,4,4,4,9
1,1,1,2,0,0,1,1,0,4,3,4,4,6
1,0,1,1,0,0,1,1,1,4,3,3,10,9
1,1,1,2,0,0,1,1,1,5,2,3,4,11
